epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,157.985,2.55058,4.96125,0.97622,0,0,0,0,2.24024,5.42786,0.92969,0.00489976,0.00489976,0.00489976
51,161.221,2.79372,4.9894,0.99004,0,0,0,0,2.58155,5.42839,0.96353,0.00499975,0.00499975,0.00499975
52,164.423,2.56893,4.90485,0.98552,0,0,0,0,2.58155,5.42839,0.96353,0.00509974,0.00509974,0.00509974
53,167.38,2.53111,4.93729,0.96848,0,0,0,0,2.58155,5.42839,0.96353,0.00519973,0.00519973,0.00519973
54,170.352,2.74259,4.89624,0.97505,0,0,0,0,2.60999,5.38066,0.96931,0.00529972,0.00529972,0.00529972
55,173.219,2.53673,4.77794,0.94956,0,0,0,0,2.60999,5.38066,0.96931,0.00539971,0.00539971,0.00539971
56,175.931,2.64661,4.84758,0.99864,0,0,0,0,2.60999,5.38066,0.96931,0.0054997,0.0054997,0.0054997
57,179.011,2.72415,4.8826,0.99437,0,0,0,0,2.5958,5.3017,0.97585,0.00559969,0.00559969,0.00559969
58,182.088,2.6995,4.76471,0.99409,0,0,0,0,2.5958,5.3017,0.97585,0.00569968,0.00569968,0.00569968
59,184.794,2.58813,4.793,0.98996,0,0,0,0,2.5958,5.3017,0.97585,0.00579967,0.00579967,0.00579967
60,188.049,2.58191,4.71463,0.97358,0,0,0,0,2.7597,5.22551,0.98801,0.00589966,0.00589966,0.00589966
61,190.798,2.41366,4.57924,0.96848,0,0,0,0,2.7597,5.22551,0.98801,0.00599964,0.00599964,0.00599964
62,193.624,2.5982,4.68057,0.96927,0,0,0,0,2.7597,5.22551,0.98801,0.00609963,0.00609963,0.00609963
63,196.925,2.27683,4.59036,0.9505,0.02778,0.01852,0.02394,0.01473,2.61644,5.13759,0.9971,0.00619962,0.00619962,0.00619962
