epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
46	141,369	2,90815	5,32644	1,0752	0	0	0	0	2,63184	5,56205	1,04529	7,94676e-05	7,94676e-05	7,94676e-05
47	146,181	2,54487	5,31537	1,06435	0	0	0	0	2,55346	5,55385	1,0173	8,11783e-05	8,11783e-05	8,11783e-05
48	148,794	2,54846	5,29588	1,06938	0	0	0	0	2,55346	5,55385	1,0173	8,28865e-05	8,28865e-05	8,28865e-05
49	150,953	2,84886	5,29069	1,11702	0	0	0	0	2,54848	5,54501	1,02416	8,45924e-05	8,45924e-05	8,45924e-05
50	153,608	2,46994	5,22858	1,06333	0	0	0	0	2,54848	5,54501	1,02416	8,62959e-05	8,62959e-05	8,62959e-05
51	157,078	2,69008	5,27515	1,09478	0	0	0	0	2,49535	5,53425	1,00252	8,7997e-05	8,7997e-05	8,7997e-05
52	160,624	2,75965	5,18979	1,06109	0	0	0	0	2,49535	5,53425	1,00252	8,96957e-05	8,96957e-05	8,96957e-05
53	163,686	2,58807	5,13946	1,04135	0	0	0	0	2,49535	5,53425	1,00252	9,1392e-05	9,1392e-05	9,1392e-05
54	166,757	2,74318	5,25302	1,05409	0	0	0	0	2,42939	5,51397	0,99513	9,30858e-05	9,30858e-05	9,30858e-05
55	168,638	2,93218	5,15322	1,03906	0	0	0	0	2,42939	5,51397	0,99513	9,47773e-05	9,47773e-05	9,47773e-05
56	170,374	2,41802	5,10668	1,06606	0	0	0	0	2,42939	5,51397	0,99513	9,64664e-05	9,64664e-05	9,64664e-05
57	172,204	2,59567	5,13901	1,05758	0	0	0	0	2,37358	5,4907	0,98772	9,8153e-05	9,8153e-05	9,8153e-05
58	173,951	2,67863	5,17297	1,0348	0	0	0	0	2,37358	5,4907	0,98772	9,98373e-05	9,98373e-05	9,98373e-05
59	175,661	2,25747	5,1786	1,07916	0	0	0	0	2,37358	5,4907	0,98772	0,000101519	0,000101519	0,000101519
60	177,578	2,53827	5,1254	1,03957	0	0	0	0	2,34236	5,47067	0,98801	0,000103199	0,000103199	0,000103199
61	179,765	2,48975	5,04047	1,05185	0	0	0	0	2,34236	5,47067	0,98801	0,000104876	0,000104876	0,000104876
62	181,768	2,21134	5,06405	1,01203	0	0	0	0	2,34236	5,47067	0,98801	0,00010655	0,00010655	0,00010655
63	184,296	2,62298	5,12383	1,08117	0	0	0	0	2,31688	5,43576	0,98516	0,000108223	0,000108223	0,000108223
64	186,537	3,03782	5,10915	1,11548	0	0	0	0	2,31688	5,43576	0,98516	0,000109892	0,000109892	0,000109892
65	188,588	2,58789	5,08334	1,055	0	0	0	0	2,31688	5,43576	0,98516	0,00011156	0,00011156	0,00011156
66	190,744	2,34981	5,01287	1,01545	0	0	0	0	2,29892	5,39801	0,9702	0,000113225	0,000113225	0,000113225
67	192,821	2,43283	4,97263	1,03804	0	0	0	0	2,29892	5,39801	0,9702	0,000114888	0,000114888	0,000114888
68	194,471	2,69918	5,05093	1,06667	0	0	0	0	2,29892	5,39801	0,9702	0,000116548	0,000116548	0,000116548
69	196,482	2,82778	5,02958	1,04415	0	0	0	0	2,29729	5,36256	0,97204	0,000118206	0,000118206	0,000118206
70	198,284	2,40427	4,87498	0,98041	0	0	0	0	2,29729	5,36256	0,97204	0,000119861	0,000119861	0,000119861
71	199,859	2,37526	4,81802	0,97858	0	0	0	0	2,29729	5,36256	0,97204	0,000121514	0,000121514	0,000121514
72	201,775	2,3977	4,8538	0,99067	0	0	0	0	2,20788	5,30688	0,95983	0,000123165	0,000123165	0,000123165
73	203,955	2,25963	4,82083	0,99571	0	0	0	0	2,20788	5,30688	0,95983	0,000124813	0,000124813	0,000124813
74	206,168	2,46114	4,88676	0,98967	0	0	0	0	2,20788	5,30688	0,95983	0,000126459	0,000126459	0,000126459
75	208,43	2,63485	4,82894	0,99239	0,01481	0,00617	0,01053	0,00447	2,13521	5,24119	0,94985	0,000128102	0,000128102	0,000128102
76	210,345	2,1395	4,75651	0,9742	0,01481	0,00617	0,01053	0,00447	2,13521	5,24119	0,94985	0,000129743	0,000129743	0,000129743
77	212,208	2,42346	4,72087	0,95418	0,01481	0,00617	0,01053	0,00447	2,13521	5,24119	0,94985	0,000131382	0,000131382	0,000131382
78	214,109	2,35228	4,77971	1,00086	0,00823	0,00617	0,00752	0,00295	2,06652	5,16362	0,93726	0,000133018	0,000133018	0,000133018
79	215,814	2,10327	4,63933	0,95738	0,00823	0,00617	0,00752	0,00295	2,06652	5,16362	0,93726	0,000134652	0,000134652	0,000134652
80	217,763	2,14731	4,71316	0,9915	0,00823	0,00617	0,00752	0,00295	2,06652	5,16362	0,93726	0,000136283	0,000136283	0,000136283
81	219,55	2,06661	4,71965	0,96994	0,01329	0,06173	0,01591	0,00759	2,04561	5,07094	0,93249	0,000137912	0,000137912	0,000137912
82	221,443	2,23039	4,57163	0,96488	0,01329	0,06173	0,01591	0,00759	2,04561	5,07094	0,93249	0,000139539	0,000139539	0,000139539
83	223,304	2,06342	4,51577	0,9657	0,01329	0,06173	0,01591	0,00759	2,04561	5,07094	0,93249	0,000141163	0,000141163	0,000141163
84	225,307	2,62606	4,69591	0,98361	0,01564	0,06605	0,01619	0,00995	2,06041	4,98003	0,93249	0,000142785	0,000142785	0,000142785
85	227,203	2,22382	4,6306	0,99094	0,01564	0,06605	0,01619	0,00995	2,06041	4,98003	0,93249	0,000144404	0,000144404	0,000144404
86	228,903	2,25347	4,59575	0,98717	0,01564	0,06605	0,01619	0,00995	2,06041	4,98003	0,93249	0,000146021	0,000146021	0,000146021
87	230,867	2,43886	4,55598	0,97359	0,01564	0,06605	0,01619	0,00995	2,06041	4,98003	0,93249	0,000147636	0,000147636	0,000147636
88	232,786	2,82643	4,72475	1,03134	0,01085	0,06914	0,01573	0,00996	2,03658	4,88754	0,93538	0,000149248	0,000149248	0,000149248
89	234,701	2,66873	4,60261	0,98791	0,01085	0,06914	0,01573	0,00996	2,03658	4,88754	0,93538	0,000150858	0,000150858	0,000150858
90	236,508	2,27105	4,59198	0,99616	0,01085	0,06914	0,01573	0,00996	2,03658	4,88754	0,93538	0,000152465	0,000152465	0,000152465
91	238,405	2,25557	4,44201	0,95286	0,01085	0,06914	0,01573	0,00996	2,03658	4,88754	0,93538	0,00015407	0,00015407	0,00015407
92	240,292	2,41232	4,58743	1,00692	0,01025	0,07963	0,02785	0,01863	2,00459	4,80651	0,93905	0,000155673	0,000155673	0,000155673
93	242,17	2,22749	4,42817	0,96733	0,01025	0,07963	0,02785	0,01863	2,00459	4,80651	0,93905	0,000157273	0,000157273	0,000157273
94	244,303	2,50376	4,54722	1,00952	0,01025	0,07963	0,02785	0,01863	2,00459	4,80651	0,93905	0,000158871	0,000158871	0,000158871
95	246,088	2,01825	4,38882	0,95327	0,01025	0,07963	0,02785	0,01863	2,00459	4,80651	0,93905	0,000160466	0,000160466	0,000160466
96	248,155	2,13499	4,52188	0,98122	0,01885	0,10679	0,03811	0,0224	1,95782	4,71812	0,93082	0,000162059	0,000162059	0,000162059
97	250,131	2,34769	4,35994	0,96264	0,01885	0,10679	0,03811	0,0224	1,95782	4,71812	0,93082	0,00016365	0,00016365	0,00016365
98	251,999	2,26986	4,45141	0,95222	0,01885	0,10679	0,03811	0,0224	1,95782	4,71812	0,93082	0,000165238	0,000165238	0,000165238
99	253,869	2,51541	4,4988	0,99949	0,01885	0,10679	0,03811	0,0224	1,95782	4,71812	0,93082	0,000166824	0,000166824	0,000166824
100	255,634	2,23851	4,2701	0,93606	0,02188	0,1284	0,04188	0,02489	1,93962	4,59449	0,92117	0,000168407	0,000168407	0,000168407
101	257,617	2,14229	4,45403	0,9518	0,02188	0,1284	0,04188	0,02489	1,93962	4,59449	0,92117	0,000169988	0,000169988	0,000169988
102	259,65	2,03375	4,30353	0,9298	0,02188	0,1284	0,04188	0,02489	1,93962	4,59449	0,92117	0,000169868	0,000169868	0,000169868
103	261,741	2,20329	4,50221	0,9734	0,02188	0,1284	0,04188	0,02489	1,93962	4,59449	0,92117	0,000169748	0,000169748	0,000169748
104	263,692	2,15849	4,43117	0,93288	0,28267	0,04596	0,04328	0,02738	1,91995	4,49003	0,9178	0,000169628	0,000169628	0,000169628
105	265,572	2,18893	4,35327	0,96126	0,28267	0,04596	0,04328	0,02738	1,91995	4,49003	0,9178	0,000169508	0,000169508	0,000169508
106	267,443	2,11385	4,17263	0,91998	0,28267	0,04596	0,04328	0,02738	1,91995	4,49003	0,9178	0,000169387	0,000169387	0,000169387
107	269,24	2,01654	4,27448	0,96802	0,28267	0,04596	0,04328	0,02738	1,91995	4,49003	0,9178	0,000169267	0,000169267	0,000169267
108	271,042	2,13757	4,25237	0,92389	0,39515	0,04321	0,04243	0,02668	1,8876	4,37032	0,91215	0,000169147	0,000169147	0,000169147
109	272,935	2,09787	4,16471	0,9187	0,39515	0,04321	0,04243	0,02668	1,8876	4,37032	0,91215	0,000169027	0,000169027	0,000169027
110	274,828	1,96772	4,15936	0,93746	0,39515	0,04321	0,04243	0,02668	1,8876	4,37032	0,91215	0,000168907	0,000168907	0,000168907
111	276,606	2,00034	4,12981	0,91884	0,39515	0,04321	0,04243	0,02668	1,8876	4,37032	0,91215	0,000168787	0,000168787	0,000168787
